[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=51331 | powershell.exe | uy.edu.um.entities.User@6e5e91e4 | P=83
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=47122 | services.exe | uy.edu.um.entities.User@2d38eb89 | P=85
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=57160 | powershell.exe | uy.edu.um.entities.User@5fa7e7ff | P=115
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=19520 | taskmgr.exe | uy.edu.um.entities.User@4629104a | P=131
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=69402 | netstat.exe | uy.edu.um.entities.User@27f8302d | P=117
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=54724 | gradle.exe | uy.edu.um.entities.User@4629104a | P=163
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=55995 | ftp.exe | uy.edu.um.entities.User@4d76f3f8 | P=133
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=11014 | cmd.exe | uy.edu.um.entities.User@2d8e6db6 | P=84
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=83656 | ssh.exe | uy.edu.um.entities.User@6e5e91e4 | P=52
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=24752 | ssh.exe | uy.edu.um.entities.User@4629104a | P=166
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=36887 | docker.exe | uy.edu.um.entities.User@2d8e6db6 | P=50
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=68906 | netstat.exe | uy.edu.um.entities.User@27f8302d | P=50
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=99038 | cmd.exe | uy.edu.um.entities.User@2d38eb89 | P=117
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=96813 | gradle.exe | uy.edu.um.entities.User@23ab930d | P=66
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=53121 | docker.exe | uy.edu.um.entities.User@27f8302d | P=117
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=58698 | taskmgr.exe | uy.edu.um.entities.User@4534b60d | P=98
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=24741 | control.exe | uy.edu.um.entities.User@23ab930d | P=66
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=55956 | mvn.exe | uy.edu.um.entities.User@4629104a | P=227
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=74438 | ping.exe | uy.edu.um.entities.User@3fa77460 | P=163
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=91329 | ssh.exe | uy.edu.um.entities.User@619a5dff | P=66
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=43803 | ping.exe | uy.edu.um.entities.User@6e5e91e4 | P=100
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=27505 | chrome.exe | uy.edu.um.entities.User@3fa77460 | P=130
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=43451 | cmd.exe | uy.edu.um.entities.User@3fa77460 | P=228
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=62192 | notepad.exe | uy.edu.um.entities.User@5fa7e7ff | P=66
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=77653 | chrome.exe | uy.edu.um.entities.User@27f8302d | P=100
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=76208 | ftp.exe | uy.edu.um.entities.User@1ed6993a | P=69
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=27009 | ping.exe | uy.edu.um.entities.User@4534b60d | P=100
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=94876 | cmd.exe | uy.edu.um.entities.User@4629104a | P=163
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=19491 | control.exe | uy.edu.um.entities.User@27f8302d | P=115
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=73893 | ping.exe | uy.edu.um.entities.User@3fa77460 | P=198
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=82095 | regedit.exe | uy.edu.um.entities.User@1ed6993a | P=66
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=84665 | control.exe | uy.edu.um.entities.User@23ab930d | P=83
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=30125 | control.exe | uy.edu.um.entities.User@1ed6993a | P=83
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=17696 | netstat.exe | uy.edu.um.entities.User@6e5e91e4 | P=50
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=77055 | wmic.exe | uy.edu.um.entities.User@2d8e6db6 | P=50
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=31700 | cmd.exe | uy.edu.um.entities.User@27f8302d | P=67
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=68843 | notepad.exe | uy.edu.um.entities.User@4629104a | P=133
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=28110 | java.exe | uy.edu.um.entities.User@5fa7e7ff | P=117
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=70368 | ftp.exe | uy.edu.um.entities.User@5fa7e7ff | P=52
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=2455 | ipconfig.exe | uy.edu.um.entities.User@4629104a | P=100
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=13200 | ipconfig.exe | uy.edu.um.entities.User@4534b60d | P=162
[2026-06-10 17:03:44]: NEW PENDING PROCESS: PID=69281 | ipconfig.exe | uy.edu.um.entities.User@6e5e91e4 | P=82
